0.1,-2.01476192474,0.791666686535
202,36,0.15,-0.895449744331,0.777777777778
226,12,0.05,-1.34317457676,0.75
214,24,0.1,-2.01476192474,0.791666686535
202,36,0.15,-0.895449744331,0.777777777778
190,48,0.2,-0.671587308248,0.708333333333
178,60,0.25,-0.537269862493,0.733333325386
166,72,0.3,-0.671587308248,0.680555555556
154,84,0.35,-1.34317462785,0.678571428571
142,96,0.4,-1.17527778943,0.635416666667
130,108,0.45,-1.16146597597,0.611111111111
119,119,0.5,-1.21901561433,0.571428569926
107,131,0.55,-1.43728019217,0.541984732824
95,143,0.6,-1.51768896713,0.517482518733
83,155,0.65,-1.48676791576,0.49677419201
71,167,0.7,-1.67476953575,0.491017964786
59,179,0.75,-1.29242884447,0.474860338192
47,191,0.8,-1.30361204653,0.455497383135
35,203,0.85,-0.619432193158,0.438423646495
23,215,0.9,-0.69299256358,0.41395348754
11,227,0.95,-0.433411899265,0.42731277533
